"carat","cut","color","clarity","depth","table","price","x","y","z"
1.21,"Very Good","G","VVS2",59.3,58,9942,7.01,7.05,4.17
2.15,"Ideal","I","SI2",61.7,55,14388,8.24,8.43,5.14
0.5,"Good","G","VVS2",64.1,56,1791,5.06,5.02,3.23
1.35,"Premium","G","VS2",62.8,59,9471,7.04,7.01,4.41
1.3,"Fair","J","SI1",66,57.1,5488,6.73,6.82,4.45
1.27,"Good","F","I1",59.2,64,4324,7.06,6.99,4.16
0.9,"Premium","D","VS2",63,62,4586,6.13,6.06,3.84
0.72,"Ideal","G","VS1",60.4,57,3478,5.81,5.84,3.52
0.71,"Ideal","F","SI1",60.8,57,2487,5.75,5.8,3.51
2.23,"Premium","G","SI2",61.4,58,16805,8.41,8.32,5.14
0.41,"Ideal","F","VS2",62.4,58,1085,4.77,4.75,2.97
2.02,"Premium","J","SI2",62.1,60,11165,7.98,8.09,4.99
1.2,"Premium","G","SI2",60.2,60,5689,6.9,6.83,4.13
0.38,"Ideal","G","VS1",62.4,54,759,4.63,4.67,2.9
0.5,"Very Good","H","SI1",62.9,58,1068,5.01,5.04,3.16
0.57,"Premium","D","VS2",60.8,59,1918,5.34,5.38,3.26
0.31,"Very Good","J","SI1",61.9,59,363,4.28,4.32,2.66
1.04,"Premium","I","I1",61.6,61,2870,6.47,6.45,3.98
1.01,"Good","E","SI1",64.3,59,4106,6.28,6.31,4.05
0.23,"Very Good","F","VVS2",61.2,55,505,3.97,4.01,2.44
0.35,"Ideal","F","VVS2",61.9,54,795,4.55,4.59,2.83
1,"Very Good","G","SI1",59.6,60,4997,6.43,6.49,3.85
0.43,"Ideal","J","SI1",61.9,54,708,4.88,4.84,3.01
1.15,"Ideal","G","VS2",59.2,56,5564,6.88,6.83,0
0.37,"Ideal","G","IF",61.5,56,1056,4.6,4.64,2.84
0.31,"Good","H","SI1",63.6,57,573,4.33,4.32,2.75
0.41,"Ideal","E","VVS1",61.4,57,1279,4.8,4.77,2.94
0.43,"Premium","D","SI1",60.1,58,1064,4.93,4.89,2.95
0.38,"Premium","E","VS2",62.2,59,866,4.63,4.67,2.89
0.3,"Ideal","G","IF",62.6,54,826,4.3,4.33,2.7
0.41,"Ideal","F","VS1",61.8,56,1076,4.79,4.75,2.95
1.35,"Ideal","J","VS2",61.8,54,6754,7.1,7.14,4.4
0.35,"Ideal","G","VS1",61.9,55,706,4.51,4.53,2.8
0.72,"Premium","D","SI2",59.1,58,2043,5.88,5.83,3.46
0.3,"Premium","F","VVS2",61,59,945,4.33,4.3,2.63
0.31,"Good","G","VVS2",63.1,57,707,4.3,4.32,2.72
1.11,"Ideal","H","SI1",62,56,5102,6.65,6.61,4.11
0.91,"Fair","D","SI1",65.2,57,3730,6.08,6.04,3.95
0.99,"Very Good","D","SI1",62.6,57,5671,6.34,6.37,3.98
0.97,"Fair","F","SI2",67.2,61,2338,6.09,6,4.06
1.71,"Premium","G","VS1",62.3,58,17197,7.65,7.61,4.75
1.11,"Ideal","G","IF",61.2,54,10053,6.71,6.73,4.11
1.31,"Ideal","G","VS1",60.5,57,10155,7.1,7.14,4.31
2.51,"Premium","H","SI2",59.3,61,14543,8.81,8.77,5.21
0.59,"Premium","G","VS1",62.5,53,1991,5.46,5.35,3.38
1.02,"Ideal","D","SI1",62.3,56,5266,6.49,6.45,4.03
0.38,"Premium","E","SI2",61.6,57,812,4.65,4.61,2.85
1.22,"Ideal","I","SI1",62.3,57,5233,6.77,6.87,4.25
0.59,"Good","F","VS1",60.5,61,1861,5.43,5.5,3.31
0.32,"Ideal","G","IF",61.7,54,918,4.39,4.42,2.72
1.56,"Premium","G","VS1",60.9,58,14268,7.53,7.49,4.57
0.37,"Ideal","E","VS2",62.6,56,1041,4.61,4.56,2.87
0.31,"Premium","I","VVS2",61.7,58,544,4.38,4.4,2.71
1.03,"Ideal","D","SI1",61,57,5804,6.48,6.53,3.97
1.01,"Very Good","F","VS2",62.1,57,7098,6.38,6.43,3.98
0.42,"Ideal","G","VS2",62.2,56,847,4.8,4.82,2.99
1.03,"Very Good","F","SI2",62,58,4414,6.43,6.51,4.01
0.53,"Very Good","F","VS1",61.5,59,1821,5.19,5.22,3.2
0.92,"Premium","H","VS2",61.3,58,4077,6.21,6.26,3.82
1.35,"Very Good","H","VVS2",63.1,56,8644,6.95,7.03,4.41
1.56,"Ideal","I","VS2",61.8,56,10333,7.41,7.45,4.59
1.06,"Premium","H","SI1",62.8,58,4872,6.49,6.47,4.07
0.32,"Premium","G","VS1",62.1,56,828,4.43,4.4,2.74
0.32,"Premium","F","VS2",61.7,58,828,4.41,4.38,2.71
0.27,"Very Good","G","VVS1",60.1,58,566,4.21,4.23,2.53
0.91,"Very Good","D","SI1",62,60,4444,6.12,6.2,3.82
0.55,"Ideal","E","SI2",62,56,1221,5.27,5.31,3.28
0.51,"Ideal","E","VS2",60.9,56,1656,5.15,5.2,3.15
0.33,"Ideal","F","VVS1",60.6,56,939,4.47,4.51,2.72
0.32,"Ideal","G","VS1",61.3,55,707,4.45,4.43,2.72
0.41,"Premium","F","VS1",62.7,58,1007,4.74,4.77,2.98
1.24,"Very Good","J","SI2",62.2,58,4583,6.82,6.94,4.28
1.11,"Ideal","H","VS2",64,58,5632,6.52,6.46,4.16
1,"Ideal","H","SI2",61.5,55.6,4459,6.41,6.48,3.96
0.32,"Ideal","G","VVS1",62,57,1080,4.42,4.38,2.73
0.92,"Very Good","H","VS2",63.1,57,4173,6.2,6.17,3.9
0.31,"Premium","G","VS1",61.2,59,802,4.37,4.35,2.67
1.16,"Very Good","G","VVS1",60.7,56,9023,6.77,6.83,4.13
0.73,"Very Good","E","SI2",62.1,58,2395,5.75,5.81,3.59
1.01,"Good","H","SI2",63,61,4865,6.32,6.29,3.97
0.6,"Ideal","E","VS2",62,56,2112,5.4,5.43,3.36
1.02,"Fair","H","SI1",56.9,58,4935,6.64,6.75,3.81
1.01,"Good","E","SI1",63.8,60,4179,6.31,6.36,4.04
1.1,"Premium","F","SI2",62,59,4928,6.62,6.6,4.1
1.08,"Very Good","H","SI1",63.4,57,5286,6.54,6.51,4.14
1.25,"Good","J","SI1",63.6,57,5110,6.86,6.81,4.35
0.71,"Premium","E","SI2",61.8,57,2271,5.73,5.67,3.52
0.38,"Very Good","H","VS2",60.4,56,871,4.71,4.73,2.85
1.62,"Ideal","F","SI1",62.7,56,12712,7.44,7.5,4.68
1.2,"Very Good","J","SI2",61.2,58,4523,6.77,6.82,4.16
1.25,"Good","I","SI2",63.9,56,4725,6.81,6.77,4.34
1.24,"Very Good","H","SI2",60,58,5858,6.99,7.05,4.21
0.9,"Premium","E","SI1",62.7,60,4443,6.13,6.03,3.81
1.51,"Good","E","SI1",65.5,56,9539,7.12,7.16,4.68
0.35,"Premium","D","SI2",60.8,58,522,4.51,4.57,2.76
0.91,"Very Good","E","SI1",63.9,57,4289,6.05,6.12,3.89
0.99,"Very Good","J","SI1",60.3,57,4002,6.44,6.49,3.9
0.26,"Premium","E","VVS2",61.7,61,724,4.12,4.08,2.53
0.3,"Very Good","I","VVS1",62.5,60,552,4.24,4.27,2.66
1.2,"Premium","D","VVS1",62.1,59,15686,0,0,0
1.01,"Premium","H","VS2",61.5,59,5303,6.48,6.49,3.99
0.6,"Very Good","E","SI1",63.2,56,1836,5.38,5.32,3.38
0.43,"Very Good","F","SI1",62.9,59,792,4.79,4.84,3.03
1.71,"Ideal","F","SI2",62.1,54,11199,7.72,7.67,4.78
0.27,"Ideal","H","VS1",62.3,54,500,4.16,4.19,2.6
1.25,"Premium","G","VS2",62.6,58,8820,6.87,6.8,4.28
0.56,"Ideal","G","VVS2",62.1,56,2357,5.31,5.29,3.29
0.57,"Ideal","F","VS1",61.9,55,2189,5.34,5.32,3.3
0.8,"Good","G","VS2",64.2,58,2753,5.84,5.81,3.74
0.5,"Ideal","D","VVS2",61.9,55.1,2639,5.07,5.1,3.15
1.51,"Ideal","G","SI1",61.6,57,11917,7.34,7.31,4.52
1.01,"Fair","D","SI1",66.9,54,4751,6.25,6.21,4.17
1.09,"Very Good","E","SI2",60.9,59,5035,6.61,6.75,4.07
1.51,"Ideal","F","VS2",62.2,53,13771,7.35,7.31,4.56
1.52,"Very Good","J","VS2",63.1,61,7109,7.23,7.19,4.55
0.91,"Premium","E","VS1",62.7,59,4969,6.19,6.15,3.87
0.58,"Very Good","G","VVS2",62.1,58,1872,5.35,5.4,3.34
0.73,"Premium","D","VS1",60,58,3557,5.9,5.86,3.53
5.01,"Fair","J","I1",65.5,59,18018,10.74,10.54,6.98
1.21,"Premium","H","VS1",62.5,59,7555,6.8,6.74,4.23
0.3,"Very Good","G","SI1",59.5,63,574,4.32,4.29,2.56
0.34,"Ideal","E","VS2",62.4,56,745,4.45,4.49,2.79
1.04,"Ideal","E","VVS2",61,57,9901,6.61,6.57,4.02
1,"Very Good","F","VS1",63.7,57,7350,6.33,6.35,4.04
0.46,"Ideal","G","IF",62.1,56,1733,4.96,4.93,3.07
0.32,"Premium","G","VVS2",60.8,59,730,4.41,4.44,2.69
0.37,"Premium","F","VS2",59.7,59,957,4.68,4.64,2.78
1.14,"Ideal","D","SI1",60.9,56,6070,6.75,6.81,4.13
2.02,"Ideal","G","SI2",62,55,18296,8.16,8.1,5.04
0.3,"Ideal","E","VVS2",61.8,56,789,4.33,4.35,2.68
0.38,"Ideal","F","VVS2",62,55,963,4.66,4.7,2.9
2.01,"Fair","G","I1",70.2,57,6315,7.53,7.5,5.27
1.01,"Very Good","G","SI1",62.9,61,4588,6.36,6.4,4.01
0.33,"Ideal","D","VS2",61.1,56,822,4.5,4.54,2.76
1.23,"Ideal","G","VS1",61.6,57,10859,6.84,6.9,4.23
1.12,"Very Good","E","VS1",60.8,58,8788,6.69,6.73,4.08
1,"Very Good","H","VS2",63.3,62,4652,6.37,6.29,4.01
1.25,"Premium","J","VS2",62,59,5170,6.87,6.9,4.27
0.53,"Very Good","E","VS1",58.5,61,1852,5.28,5.39,3.12
0.78,"Very Good","I","SI1",63.5,57,2348,5.79,5.86,3.7
1.57,"Premium","H","VS2",62.2,58,11415,7.45,7.4,4.62
0.3,"Ideal","H","VS1",61.9,58,545,4.3,4.32,2.67
0.32,"Ideal","D","SI1",62,55,756,4.47,4.37,2.74
1.51,"Very Good","G","SI2",60.5,54.6,8637,7.36,7.4,4.46
0.35,"Ideal","F","VS1",60.9,56,839,4.52,4.56,2.77
0.32,"Ideal","D","SI1",62,55,589,4.37,4.47,2.74
2.65,"Premium","G","SI2",62,61,16314,8.82,8.75,5.45
0.93,"Very Good","I","SI1",58.9,60,3685,6.43,6.48,3.8
0.3,"Ideal","E","VVS1",61.4,56,895,4.33,4.37,2.67
0.71,"Very Good","E","SI1",63,58,2531,5.68,5.72,3.59
0.36,"Good","H","VS2",63.7,55,568,4.49,4.52,2.87
1.09,"Very Good","G","VS1",59.9,56,7992,6.74,6.81,4.06
0.5,"Good","J","VVS2",64.1,57,1105,5,4.95,3.19
2.03,"Ideal","G","SI1",60,55.8,18757,8.17,8.3,4.95
1.01,"Good","J","VS2",62.8,58,3655,6.3,6.35,3.97
0.34,"Ideal","F","VS2",62.5,55,686,4.48,4.51,2.81
1.02,"Ideal","D","SI2",61.4,56,4946,6.42,6.57,3.99
0.51,"Ideal","H","VS2",61.3,57,1385,5.14,5.16,3.16
0.71,"Very Good","E","VVS2",61.5,61,3580,5.7,5.75,3.52
0.41,"Premium","E","SI1",61.3,58,755,4.76,4.8,2.93
0.3,"Good","G","VVS2",63.2,57,684,4.23,4.28,2.69
1,"Good","F","SI1",64.9,57,4844,6.25,6.32,4.08
0.52,"Very Good","H","VS1",62.2,55,1659,5.15,5.18,3.21
0.32,"Very Good","F","VS2",62.8,53,645,4.34,4.38,2.74
1.01,"Ideal","G","VS2",62,54.9,6295,6.41,6.44,3.99
0.3,"Ideal","H","VS1",62.7,55,675,4.3,4.25,2.68
0.59,"Ideal","E","SI1",62.4,55,1664,5.34,5.39,3.35
1,"Good","G","SI1",63.9,60,4737,6.22,6.27,3.99
0.33,"Ideal","G","VVS1",62.3,55,810,4.42,4.44,2.76
0.71,"Ideal","D","SI2",62.3,56,2762,5.73,5.69,3.56
1.23,"Premium","D","SI2",58,59,4470,7.02,6.97,4.06
1.24,"Premium","H","SI2",62.1,58,4854,6.92,6.88,4.28
0.32,"Ideal","G","VS2",61.6,57,720,4.41,4.39,2.71
0.3,"Premium","E","VS2",61.9,59,844,4.33,4.29,2.67
0.77,"Very Good","D","VS2",63.1,57,3428,5.86,5.83,3.69
0.55,"Ideal","F","VS2",61.3,54,1649,5.27,5.33,3.25
0.59,"Ideal","D","SI2",61.1,56,1419,5.4,5.44,3.31
0.34,"Premium","F","VS2",59.2,60,880,4.6,4.56,2.71
0.3,"Good","D","SI2",63.2,57,447,4.21,4.24,2.67
0.5,"Ideal","G","VVS1",62.2,54,1883,5.1,5.13,3.18
1.36,"Very Good","J","SI2",62.6,58,5215,7,7.12,4.42
0.43,"Ideal","F","VS2",61.1,56,905,4.88,4.91,2.99
0.51,"Premium","G","SI1",62,56,1250,5.14,5.12,3.18
0.57,"Premium","D","VS2",60.4,57,1775,5.38,5.35,3.24
0.9,"Ideal","H","VS2",61.9,58,4403,6.2,6.24,3.85
0.7,"Premium","G","SI1",63,59,2150,5.64,5.6,3.54
0.8,"Premium","F","SI1",60.1,58,3082,6.07,6.05,3.64
1.57,"Premium","I","VS2",60.8,59,7385,7.5,7.47,4.55
0.78,"Very Good","F","SI1",62.4,55,3267,5.85,5.89,3.66
1.53,"Premium","I","VS1",61.2,59,10098,7.39,7.41,4.53
0.36,"Ideal","H","IF",61.3,57,1163,4.59,4.61,2.82
1.06,"Ideal","G","VVS2",61.4,56,9645,6.56,6.62,4.04
1.12,"Premium","H","SI2",62.4,58,4250,6.63,6.58,4.12
2,"Ideal","J","VS2",62.3,55,13263,8.03,8.06,5.01
0.72,"Premium","I","SI1",62,52,1922,5.71,5.67,3.53
0.53,"Premium","E","SI2",59.9,58,984,5.31,5.27,3.17
1.06,"Ideal","D","VVS2",61.8,56,13588,6.49,6.53,4.03
0.82,"Ideal","D","SI2",62.1,57,3357,6.04,6,3.74
0.28,"Very Good","G","VVS1",60.7,56,586,4.27,4.29,2.6
0.56,"Premium","E","VS2",61.8,59,1915,5.34,5.27,3.28
0.61,"Ideal","J","VVS1",60.9,56,1692,5.45,5.51,3.34
0.52,"Good","H","VS2",63.5,58,1289,5.11,5.12,3.25
2.51,"Premium","J","VS2",62.2,58,18020,8.73,8.67,5.41
0.91,"Good","F","SI1",64.4,60,3994,6.05,6.1,3.91
0.3,"Ideal","G","IF",62.3,56,863,4.29,4.32,2.68
2.28,"Premium","J","VS2",62.9,58,16564,8.42,8.34,5.27
0.23,"Ideal","G","VVS1",61.5,57,536,3.94,3.97,2.43
0.77,"Very Good","D","SI1",60.3,58,3166,5.89,5.96,3.57
2.01,"Ideal","G","SI2",61.9,57,17555,8,8.08,4.98
0.27,"Very Good","D","VS1",60.4,59,470,4.15,4.2,2.52
0.56,"Ideal","E","VS1",61.6,56,1773,5.26,5.32,3.26
1.01,"Very Good","G","VS1",62.3,60,6368,6.35,6.49,4
0.43,"Ideal","G","IF",61.6,57,1341,4.84,4.81,2.97
0.55,"Premium","G","SI1",62.1,56,1321,5.28,5.22,3.26
0.43,"Very Good","F","SI1",62.9,60,792,4.77,4.8,3.01
0.38,"Ideal","I","VS1",62.3,55,703,4.63,4.66,2.89
0.56,"Ideal","E","VS2",61.1,57,2066,5.37,5.33,3.27
2.01,"Ideal","H","SI1",61.5,55,14837,8.11,8.06,4.97
0.9,"Premium","H","VS2",61.3,59,4155,6.19,6.24,3.81
0.38,"Ideal","G","SI1",61,57,629,4.66,4.71,2.86
0.4,"Very Good","H","VS2",63.1,62,895,4.75,4.66,2.97
1.74,"Ideal","G","VS2",61.7,56,16316,7.72,7.68,4.75
1.17,"Ideal","G","VVS1",61.7,57,10342,6.84,6.9,4.13
0.86,"Ideal","E","SI1",62.3,54,3456,6.13,6.07,3.8
1.25,"Ideal","H","SI2",62.7,56,5670,6.92,6.87,4.32
1.12,"Very Good","H","SI2",62.9,58,4498,6.55,6.62,4.14
0.4,"Ideal","H","IF",62.7,57,1158,4.68,4.7,2.94
0.32,"Premium","J","VS2",61.9,58,393,4.35,4.38,2.7
2,"Good","H","SI2",63.8,59,12554,7.93,7.88,5.04
0.31,"Very Good","H","VVS2",61.9,58,625,4.3,4.33,2.67
0.91,"Premium","I","VS2",62.7,58,3579,6.14,6.18,3.86
0.62,"Ideal","F","SI2",61.3,55,1441,5.55,5.47,3.38
1.04,"Ideal","D","VS1",59.1,56,8341,6.65,6.59,3.91
1.05,"Premium","H","VS2",62.7,59,5468,6.49,6.43,4.05
0.3,"Very Good","G","VS1",61.2,59,605,4.28,4.32,2.63
2.02,"Very Good","I","VS2",58.8,57,14620,8.21,8.29,4.85
0.9,"Good","F","SI1",62.6,58,4006,6.1,6.14,3.83
0.34,"Ideal","D","VS2",62.3,55,1033,4.48,4.45,2.78
0.7,"Fair","H","VVS2",65.8,58,2500,5.49,5.42,3.59
0.34,"Ideal","D","VVS2",61.3,56,1174,4.48,4.52,2.76
0.34,"Ideal","E","VS1",61,57,1033,4.52,4.49,2.75
1.24,"Ideal","J","VS2",61.7,55,5412,6.91,6.96,4.28
0.3,"Good","G","SI2",63.3,57,394,4.25,4.28,2.7
0.4,"Premium","H","SI1",62.7,58,855,4.69,4.65,2.93
0.43,"Very Good","E","VS2",62.2,58,869,4.81,4.87,3.01
2.51,"Premium","I","SI2",62.3,57,18255,8.76,8.69,5.44
1.07,"Very Good","G","SI2",64.6,60,4340,6.35,6.4,4.12
1.52,"Premium","I","SI2",62.5,56,7341,7.35,7.33,4.59
0.31,"Premium","I","VVS2",62.1,58,544,4.3,4.33,2.68
0.32,"Premium","H","IF",61.2,58,842,4.37,4.39,2.68
0.31,"Premium","G","VVS1",61.4,58,816,4.32,4.35,2.66
0.31,"Ideal","G","VS1",61.5,54,658,4.39,4.43,2.71
0.45,"Ideal","I","VS1",62.1,55,825,4.9,4.92,3.05
0.43,"Ideal","F","VS2",61.1,57,1066,4.88,4.91,2.99
0.3,"Very Good","E","IF",60.9,59,949,4.29,4.32,2.62
1.21,"Premium","H","SI2",62.9,58,4913,6.74,6.69,4.23
0.31,"Ideal","F","VS2",61.9,57,749,4.34,4.32,2.68
0.24,"Very Good","E","VVS1",60.3,61,521,4.03,4.06,2.44
0.9,"Fair","H","VS2",64.7,58,3697,5.98,6.01,3.88
0.4,"Ideal","G","VS1",61.3,55,877,4.75,4.78,2.92
0.59,"Ideal","E","SI1",61.4,56,1789,5.39,5.36,3.3
0.31,"Ideal","G","VVS1",61.8,55,743,4.35,4.39,2.7
0.31,"Premium","H","VS1",61.1,59,544,4.35,4.36,2.66
0.26,"Ideal","H","SI2",62.5,53,362,4.09,4.13,2.57
1.02,"Very Good","G","SI1",63,55,4633,6.4,6.45,4.05
0.7,"Good","E","SI1",62.7,61,2239,5.59,5.67,3.53
0.32,"Ideal","G","VVS1",61.9,56,1080,4.4,4.39,2.72
0.3,"Premium","I","VVS2",61.8,58,526,4.28,4.33,2.66
0.41,"Ideal","D","VS2",62.2,57,1007,4.72,4.76,2.95
0.31,"Premium","J","VS1",60.7,60,408,4.34,4.39,2.65
0.43,"Premium","E","SI2",61.2,59,919,4.89,4.82,2.97
0.9,"Fair","H","VS2",65.6,55,3375,6.01,5.97,3.93
1.21,"Premium","F","VS2",61.3,58,8139,6.89,6.84,4.21
0.75,"Very Good","E","SI1",59.2,59,3260,5.93,5.97,3.52
0.46,"Ideal","I","VS1",62.2,54,906,4.95,4.99,3.09
1.32,"Premium","H","SI1",61.5,61,7163,7.05,6.97,4.31
2,"Good","J","VS2",61.4,63,13542,8.01,8.08,4.94
0.52,"Very Good","I","VVS1",63.1,58,1577,5.13,5.1,3.23
0.92,"Ideal","G","VS2",62.6,56,4405,6.2,6.17,3.87
0.75,"Ideal","F","VVS1",60.6,57,5288,5.88,5.94,3.59
1,"Very Good","G","VS2",61.2,56,5939,6.47,6.38,3.93
0.31,"Very Good","E","SI1",63.1,57,698,4.35,4.3,2.73
1,"Ideal","D","SI1",60.2,57,4774,6.48,6.54,3.92
1.01,"Very Good","D","SI1",63.1,60,5543,6.39,6.32,4.01
1.31,"Good","G","SI2",63.8,56,4864,7.03,6.89,4.44
0.34,"Ideal","D","I1",62.5,57,530,4.49,4.47,2.8
0.56,"Very Good","E","VS2",61.1,57,1770,5.33,5.38,3.27
0.4,"Ideal","J","VVS2",61.8,55,662,4.76,4.79,2.95
0.7,"Very Good","F","SI2",61.2,57,2100,5.67,5.74,3.49
0.56,"Ideal","E","VS1",62.3,57,1791,5.3,5.26,3.29
0.37,"Ideal","F","SI1",61.6,56,746,4.61,4.65,2.85
1.01,"Ideal","I","SI1",60,60,4872,6.53,6.57,3.93
1.11,"Ideal","G","VS1",61.6,56,7917,6.64,6.67,4.1
1.08,"Fair","J","SI2",64.9,60,3302,6.46,6.32,4.15
0.73,"Ideal","D","VS2",61.6,56,3464,5.78,5.82,3.57
1.24,"Premium","G","VVS1",60.4,59,10485,7.02,7.01,4.24
0.41,"Premium","D","VVS2",61.9,59,1181,4.78,4.75,2.95
0.32,"Ideal","G","VVS1",62.2,55,842,4.38,4.4,2.73
1.52,"Ideal","I","VS1",61.8,55,10851,7.38,7.41,4.57
0.77,"Very Good","H","VS1",62.2,57,3152,5.81,5.86,3.63
0.61,"Ideal","D","SI1",62,55,2029,5.47,5.44,3.38
0.4,"Premium","E","IF",61.3,58,1580,4.77,4.73,2.91
0.7,"Very Good","E","VS1",62,60,3109,5.61,5.64,3.49
0.28,"Ideal","F","VVS2",61.4,57,642,4.2,4.24,2.59
0.34,"Ideal","D","VS1",60.3,57,914,4.52,4.55,2.73
0.54,"Ideal","D","VS2",61.9,55,1817,5.23,5.24,3.24
0.32,"Ideal","G","VVS2",61.6,55,936,4.42,4.41,2.72
0.7,"Ideal","E","VS2",62.2,55,3172,5.64,5.67,3.52
0.38,"Very Good","E","SI2",61.6,57,633,4.61,4.65,2.85
0.59,"Premium","E","VS2",62.3,55,1883,5.43,5.39,3.37
0.74,"Premium","F","SI2",61.4,57,2328,5.82,5.8,3.57
0.51,"Ideal","I","SI1",61.7,54,1000,5.18,5.19,3.2
0.31,"Very Good","E","VVS2",60.8,55,816,4.38,4.43,2.68
1.02,"Very Good","H","SI1",61.9,61,4476,6.34,6.42,3.95
0.47,"Ideal","H","SI2",61.8,54,782,5.01,5.05,3.11
0.3,"Fair","G","VS1",64.4,61,673,4.2,4.16,2.69
0.39,"Premium","D","VVS2",62.9,58,1290,4.66,4.62,2.92
1.53,"Premium","D","SI2",60.7,60,11078,7.45,7.41,4.51
0.54,"Premium","D","VS2",62.2,56,2009,5.27,5.21,3.26
0.32,"Ideal","G","VS2",62,57,561,4.39,4.41,2.73
0.5,"Ideal","H","VVS1",60.6,55,1838,5.17,5.13,3.12
1.08,"Very Good","G","VS2",62,57,6168,6.52,6.55,4.05
1.24,"Ideal","H","SI1",61.6,57,6958,6.92,6.84,4.24
0.95,"Fair","J","SI1",58,66,3154,6.5,6.46,3.76
1.65,"Ideal","G","VS1",62.3,55,15281,7.56,7.6,4.72
0.38,"Ideal","F","IF",62.2,54,1218,4.65,4.68,2.9
1.01,"Premium","I","SI2",61.7,60,3749,6.34,6.4,3.93
1.01,"Very Good","G","VS2",59.1,58,5919,6.56,6.63,3.9
0.33,"Premium","F","SI2",63,58,557,4.42,4.4,2.78
0.3,"Premium","D","SI1",61,60,709,4.35,4.3,2.64
0.7,"Ideal","H","SI1",61.7,57,2375,5.7,5.68,3.51
0.53,"Ideal","D","SI1",61.2,57,1587,5.19,5.24,3.19
1.96,"Premium","H","SI2",60.4,62,9769,7.96,7.9,4.79
0.9,"Very Good","H","SI1",62.3,58,3595,6.16,6.19,3.85
0.73,"Good","E","SI1",63.6,57,2871,5.7,5.72,3.63
1,"Good","D","SI2",57.8,58,4295,6.61,6.55,3.8
0.9,"Very Good","E","SI2",63.4,56,3187,6.15,5.99,3.85
0.91,"Very Good","E","VS2",62.9,55,4823,6.13,6.17,3.87
0.71,"Ideal","F","SI1",63,54,2235,5.73,5.69,3.6
1.01,"Good","E","SI1",63.6,60,5226,6.38,6.32,4.04
0.34,"Very Good","E","SI2",63.1,56,571,4.51,4.46,2.83
0.31,"Ideal","E","VS2",62,56,589,4.36,4.38,2.71
0.72,"Ideal","F","VS1",61.1,56,3265,5.76,5.79,3.53
0.7,"Very Good","F","SI1",59.8,59,2401,5.74,5.8,3.45
0.9,"Good","F","SI1",63.9,58,3604,6.12,6.08,3.9
0.31,"Good","H","VS1",57.5,60,435,4.46,4.51,2.58
0.7,"Premium","J","SI1",61.3,59,1827,5.75,5.73,3.52
0.9,"Very Good","I","SI1",63.1,54,3211,6.13,6.16,3.88
1.51,"Ideal","H","SI1",61.7,56,7780,7.25,7.18,4.45
0.3,"Premium","D","VS1",60.7,58,661,4.34,4.36,2.64
1.5,"Premium","E","SI2",61.5,60,7182,7.29,7.22,4.46
0.73,"Ideal","F","SI2",61.7,57,2087,5.78,5.82,3.58
0.36,"Premium","F","VS2",60.5,59,726,4.61,4.64,2.8
1.22,"Very Good","G","VS1",61.2,58,8795,6.84,6.86,4.19
2.01,"Very Good","F","SI2",62,54,17005,8.03,8.12,5.01
2.29,"Premium","H","SI2",62.5,58,17666,8.43,8.37,5.25
0.7,"Good","H","VS2",64.5,57,2137,5.53,5.57,3.58
